-2500;1.547298;349.7600
0.0000;1.225000;340.2900
200.0000;1.201651;339.5300
400.0000;1.178646;338.7600
600.0000;1.155984;337.9800
800.0000;1.133652;337.2100
1000.000;1.111663;336.4300
1500.000;1.058106;334.4900
2000.000;1.006558;332.5300
2500.000;0.9569578;330.5600
3000.000;0.9092563;328.5800
3500.000;0.8634045;326.5900
4000.000;0.8193412;324.5900
4500.000;0.7770420;322.5700
5000.000;0.7364333;320.5500
5500.000;0.6974660;318.5000
6000.000;0.6601157;316.4500
6500.000;0.6243090;314.3900
7000.000;0.5900213;312.3100
7500.000;0.5571913;310.2100
8000.000;0.5257823;308.1100
8500.000;0.4957575;305.9800
9000.000;0.4670680;303.8500
9500.000;0.4396648;301.7000
10000.00;0.4135110;299.5300
10500.00;0.3885700;297.3500
11000.00;0.3648050;295.1500
12000.00;0.3119340;295.0700
13000.00;0.2665968;295.0700
14000.00;0.2278623;295.0700
15000.00;0.1947505;295.0700
17000.00;0.1422960;295.0700
19000.00;0.1039952;295.0700
24000.00;4.6938322E-02;297.7200
28000.00;2.5075752E-02;300.3900
33000.00;1.1573066E-02;304.6700
39000.00;4.6267025E-03;315.4300
42000.00;2.9947576E-03;320.6700
45000.00;1.9662476E-03;325.8200
47400.00;1.4186725E-03;329.8000
51000.00;9.0690429E-04;329.8000
55000.00;5.6810601E-04;323.7200
60000.00;3.0968001E-04;315.0700
70000.00;8.2829596E-05;297.0600
80000.00;1.8458300E-05;282.5400
90000.00;3.4165250E-06;274.0400
100000.0;5.6043751E-07;280.0000
102426.0;0.0000000E+00;283.6800
200000.0;0.0000000E+00;586.0300
1000000.0;0.0000000E+00;663.9400
